BRAND_NAME,TYPE,NIC,TAR,CO,LEN,FLTR,PACK,STRENGTH,STYLE,OTHER
CLASS A -,REGULAR,1.5,20,14,85,NF,SOFT,FULL FLAVOR,.,.
CLASS A -,REGULAR,1,15,20,100,F,SOFT,FULL FLAVOR,.,.
CLASS A -,REGULAR,0.8,10,15,100,F,SOFT,LIGHT,.,.
CLASS A -,REGULAR,0.5,5,7,100,F,SOFT,ULTRA LIGHT,.,.
COMMAND,REGULAR,1.3,20,13,83,NF,SOFT,REGULAR,,FSC
COMMAND,REGULAR,1.1,17,10,83,NF,SOFT,REGULAR,,
DAVES,REGULAR,0.7,11,14,83,F,HARD,LIGHT,,FSC
DAVES,REGULAR,0.7,11,13,83,F,HARD,LIGHT,,
DAVES,REGULAR,1,17,18,83,F,HARD,REGULAR,,FSC
DAVES,REGULAR,0.9,14,13,83,F,HARD,REGULAR,,
Doral,REGULAR,1,13,12,83,F,HARD,FULL FLAVOR,,
Doral,REGULAR,0.8,9,10,83,F,HARD,LIGHT,,
Doral,REGULAR,0.4,4,5,83,F,HARD,ULTRA LIGHT,,
Doral,REGULAR,1,14,12,84,F,SOFT,FULL FLAVOR,,
Doral,REGULAR,0.8,10,10,84,F,SOFT,LIGHT,,
Doral,REGULAR,0.4,4,5,84,F,SOFT,ULTRA LIGHT,,
Doral,REGULAR,1.6,25,14,84,NF,SOFT,FULL FLAVOR,,
Doral,REGULAR,1.1,13,13,98,F,HARD,FULL FLAVOR,,
Doral,REGULAR,0.8,9,10,98,F,HARD,LIGHT,,
Doral,REGULAR,0.4,4,6,98,F,HARD,ULTRA LIGHT,,
Doral,REGULAR,1.1,14,13,99,F,SOFT,FULL FLAVOR,,
Doral,REGULAR,0.4,4,6,99,F,SOFT,ULTRA LIGHT,,
Doral,REGULAR,0.7,8,8,100,F,HARD,LIGHT,SLIMS,
Doral,REGULAR,0.8,10,11,100,F,SOFT,LIGHT,,
Dunhill,REGULAR,1.2,13,13,100,F,HARD,LIGHT,,
Dunhill,REGULAR,0.9,9,10,100,F,HARD,MEDIUM,,
EAGLE 20',REGULAR,0.9,14,18,85,F,HARD,FULL FLAVOR,.,.
EAGLE 20',REGULAR,0.7,10,12,85,F,HARD,LIGHT,.,.
EAGLE 20',REGULAR,0.9,14,18,85,F,SOFT,FULL FLAVOR,.,.
EAGLE 20',REGULAR,0.8,10,14,85,F,SOFT,LIGHT,.,.
EAGLE 20',REGULAR,0.4,5,5,85,F,SOFT,ULTRA LIGHT,.,.
EAGLE 20',REGULAR,1.5,21,16,85,NF,SOFT,FULL FLAVOR,.,.
EAGLE 20',REGULAR,1,15,20,100,F,HARD,FULL FLAVOR,.,.
EAGLE 20',REGULAR,0.8,10,16,100,F,HARD,LIGHT,.,.
EAGLE 20',REGULAR,1,15,20,100,F,SOFT,FULL FLAVOR,.,.
EAGLE 20',REGULAR,0.8,10,16,100,F,SOFT,LIGHT,.,.
EAGLE 20',REGULAR,0.5,5,7,100,F,SOFT,ULTRA LIGHT,.,.
Eclipse,REGULAR,0.2,5,5,83,F,HARD,ULTRA LIGHT,,
ENGLISH O,REGULAR,1.4,22,14,84,NF,HARD,REGULAR,,FSC
ENGLISH O,REGULAR,1.3,19,10,84,NF,HARD,REGULAR,,
EVE LT 12,REGULAR,1,12,12,120,F,HARD,LIGHT,.,.
EVE LT 12,REGULAR,1.1,12,11,120,F,HARD,LIGHT,.,.
EVE UL 12,REGULAR,0.5,6,5,120,F,HARD,ULTRA LIGHT,.,.
EVE UL 12,REGULAR,0.6,6,5,120,F,HARD,ULTRA LIGHT,.,.
First Choice,REGULAR,0.8,11,13,83,F,HARD,LIGHT,,
First Choice,REGULAR,0.9,15,16,84,F,SOFT,FULL FLAVOR,,
First Choice,REGULAR,0.7,10,12,84,F,SOFT,LIGHT,,
First Choice,REGULAR,0.4,4,6,84,F,SOFT,ULTRA LIGHT,,
First Choice,REGULAR,1.2,20,14,84,NF,SOFT,FULL FLAVOR,,
First Choice,REGULAR,0.9,14,16,98,F,HARD,FULL FLAVOR,,
First Choice,REGULAR,0.8,10,12,98,F,HARD,LIGHT,,
