"pets","us_region","class_year","hair_color","campus","watch_sports","beyonce_love","fav_artist","social_network","relationship_status","num_siblings","num_languages","nights_drinking","pbj_or_n","tenting","countries_visited","first_kiss","hours_watching_television","perimeter","fav_campus_eatery","fb_visits_per_day","ac","condiment","vegetarian","voted_for_president","social_club","space_time","university_applications","pizza_consumption","sick","games_attended","pepsi_or_coke","fav_friend_character","continents_visited","game_of_thrones","netflix_binge_show","chipotle_order","fav_pokemon","first_tooth","fav_cheese","cat_or_dog","fav_late_night_food","fav_dessert_flavor","fav_off_campus_restaurant","vending_machine","multicultural","smell","parents_age","marketplace_worst_meal","best_book_turned_show","fav_fantasy_universe","hogwarts_house","shooters"
"0","Southwest","Sophomore","Black","West","Basketball","hell yes","none of these","Facebook","yes","1","3","0","All three","none","7","17","5","What even is the Perimeter ","The Loop","4","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","SLG","Time","12","1","1","2","Coke","Joey","4","House Stark","House of Cards","Burrito Bowl","Jigglypuff","5","Pepperjack","Dog","Cookout","vanilla","Chamas","Shhhhh!","No","Clean Laundry","45","watery pasta","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","0"
"1","Mid-Atlantic","Sophomore","Blonde","Central","Basketball","hell yes","Taylor swift","Instagram","no","4","2","2","Peanut butter","white","4","13",".5","What even is the Perimeter ","Edens Cafe (lol)","15","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Greek life","Time","1","0","0","3","Coke","Chandler","3",NA,"Friends","Quesadilla","Jigglypuff","7","None of the above","Dog","Pitchforks","vanilla","Chipotle","Sometimes","Yes","Clean Laundry",NA,"powdered eggs","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","3"
"1","New England","Sophomore","Black","East","Basketball","yes","Taylor swift","Yikyak","no","1","1","1","Nutella","none","14","5","10","Outside","Blue Express","1","Yes","Sriracha","no","yes","Greek life","Time","1","2","1","0","Coke","Monica","5","House Targaryen","House of Cards","Burrito Bowl","Charizard","5","Feta","Dog","Jimmy John's","chocolate","Cosmic","No","No","Pine","50","watery pasta","Harry Potter","Lord of the Rings","Gryffindor (because I'm a badass)","1"
"0","New England","Sophomore","Brown","West","Other","meh","Taylor swift","Facebook","yes","0","2","0","Nutella","blue","4","19","4","What even is the Perimeter ","Other","10","Yes","Maple Syrup","no","no, I was eligible but chose not to vote","SLG","Time","2","0","2","8","No preference","Joey","3","House Targaryen","Gilmore Girls","Soft tacos","Jigglypuff","6","None of the above","Dog","Pitchforks","fruity","Harris Teeter's","Sometimes","Yes","Pine","50","watery pasta","Hunger Games","Legend of Zelda","Gryffindor (because I'm a badass)","0"
"2","New England","Senior","Brown","Off campus","Soccer","hell yes","none of these","Facebook","no","1","1","4","Some combination of two","none","12","17","10","What even is the Perimeter ","The Loop","10","Yes","Sriracha","no","yes","Independent","Outer space","5","1","2","0","Neither they're nasty","Rachel","4","House Stark","Gilmore Girls","Burrito","Charizard","6","Brie","Dog",NA,"sweet-and-salty","Parker and Otis","No","No","Pine","60.5",NA,"Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","0"
"0","New England","Junior","Brown","Central","Soccer","hell yes","Beyonce","Facebook","no","1","3","3","Nutella","none","15","15","0","What even is the Perimeter ","Other","10","Yes","Soy Sauce","no","yes","Greek life","Time","11","1","3","0","Coke","Rachel","3","House Stark","House of Cards","Soft tacos","Charizard","5","Brie","Dog","Cookout","chocolate","Chipotle","No","Yes","Bakery","51","salad bar","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","6"
"2","Southeast","Junior","Blonde","West","Basketball","hell yes","Beyonce","Instagram","no","1","2","3","Nutella","none","12","18","5","What even is the Perimeter ","Edens Cafe (lol)","5","No","Ketchup","no","yes","Greek life","Time","4","2","5","2","Coke","Rachel","2",NA,"Friends","Burrito Bowl","Jigglypuff","4","Goat","Dog","Pitchforks","chocolate","Parker and Otis","Sometimes","Yes","Clean Laundry","50.5","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","5"
"2","Southeast","First-year","Brown","East","Soccer","meh","none of these","Instagram","it's complicated","2","2","2","Peanut butter","black","8","15","1","What even is the Perimeter ","Divinity Refectory","2","No","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Outer space","10","0","1","0","Neither they're nasty","Chandler","4",NA,"House of Cards","Burrito","Charizard","6","Blue","Dog","Cosmic","sour","Cosmic","No","Yes","Pine","65","watery pasta","Lord of the Rings/Hobbit","Lord of the Rings","Ravenclaw (because I'm better than you)","2"
"3","Southeast","Sophomore","Brown","Central","Basketball","meh","Taylor swift","Instagram","yes","1","2","3","Peanut butter","none","5","12","6","Inside","Other","8","Yes","Ketchup","no","yes","Greek life","Outer space","8","1","0","3","Pepsi","Joey","1",NA,"Friends","Burrito","Jigglypuff","5","Goat","Dog","Pizza","vanilla","Chipotle","Sometimes","No","Old Spice/Axe/Perfume","54","watery pasta","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","5"
"2","New England","Sophomore","Black","West","Other","meh","Taylor swift","Facebook","no","2","3","0","Some combination of two","none","4","16","1","Outside","Divinity Refectory","10","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","Athletic Team","Time","3","0","0","2","Neither they're nasty","Rachel","3",NA,"Gilmore Girls","Burrito Bowl","Charizard","6","None of the above","Cat","Pitchforks","chocolate","Chipotle","No","Yes","Bakery","49","watery pasta","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"0","California","Junior","Black","West","Soccer","yes","none of these","Instagram","no","1","2","2","Nutella","none","7","12","12","What even is the Perimeter ","None of the above","5","Yes","Sriracha","no","no, I was eligible but chose not to vote","Greek life","Time","7","2","0","3","Coke","Rachel","3","House Stark","Gilmore Girls","Burrito Bowl","Jigglypuff","3","None of the above","Dog","Pitchforks","sour","Chipotle","Sometimes","Yes","Clean Laundry","50","salad bar","Game of Thrones","Lord of the Rings","Slytherin (because I'll cut you)","3"
"3","Midwest","First-year","Blonde","East","I don't watch sports","meh","Taylor swift",NA,"no","2","2","2","Peanut butter","none","5","15","0","What even is the Perimeter ","Divinity Refectory","20","Yes",NA,"no","no, I was not eligible due to age or citizenship status","Greek life","Outer space","18","0","2","0","Neither they're nasty","Joey","3",NA,"How I Met Your Mother","Salad","Charizard","5","Brie","Dog",NA,"chocolate","Harris Teeter's","No","No","Clean Laundry","51","the giant roasted hog","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)",NA
"1","Midwest","First-year","Brown","East","Basketball","yes","none of these","Snapchat","yes","0","1","2","None","black","3","14","5","What even is the Perimeter ","Other","2","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","8","4","7","2","Coke","Rachel","2","House Stark","House of Cards","Soft tacos","Charizard","6","Cheddar","Dog","Pizza","chocolate","Chipotle","No","No","Pine","59","powdered eggs","Game of Thrones","Game of Thrones","Ravenclaw (because I'm better than you)","2"
"0","Not from the US","Sophomore","Black","West","Soccer","no","none of these","Facebook","no","2","3","0","Some combination of two","none","4",NA,"3","What even is the Perimeter ","Other","8","No","Soy Sauce","no","no, I was not eligible due to age or citizenship status","SLG","Time","11","0","1","1","Neither they're nasty","Phoebe","5",NA,"Gilmore Girls","Soft tacos","Jigglypuff","7","None of the above","Dog","Pitchforks","fruity","Harris Teeter's","No","Yes","Bakery","46","watery pasta","Hunger Games","Harry Potter","Ravenclaw (because I'm better than you)","0"
"7","Midwest","Junior","Blonde","West","Basketball","hell yes","none of these","Facebook","it's complicated","0","2","4","Nutella","none","10","6","6","What even is the Perimeter ","Blue Express","4","Yes","Sriracha","no","yes","SLG","Outer space","4","1","0","7","Coke","Phoebe","3","House Stark","House of Cards","Burrito Bowl","Jigglypuff","8","Pepperjack","Dog","Cookout","chocolate","Chipotle","No","No","Bakery","52.5","salad bar","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"1","Mid-Atlantic","Junior","Black","West","Basketball","hell yes","Beyonce","Facebook","no","1","2","2","Nutella","blue","9","12","4","What even is the Perimeter ","Divinity Refectory","200","No","Soy Sauce","no","no, I was eligible but chose not to vote","SLG","Outer space","1","2","5","10","Pepsi","Phoebe","4","House Targaryen","Friends","Burrito","Venusaur","2","Cheddar","Dog","Cosmic","chocolate","Chipotle","Yes","Yes","Pizza",NA,"powdered eggs","Game of Thrones","Harry Potter","Slytherin (because I'll cut you)","4"
"2","New England","Sophomore","Blonde","Central","Football","meh","none of these","Snapchat","no","2","2","5","Some combination of two","none","30","13","6","Outside","Edens Cafe (lol)","8","Yes","Sriracha","yes","yes","Greek life","Outer space","2","1","2","1","Neither they're nasty","Rachel","4","House Targaryen","House of Cards","Margarita (no food)","Jigglypuff","9","None of the above","Dog","Pizza","chocolate","Parker and Otis","Sometimes","No","Old Spice/Axe/Perfume","63","watery pasta","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","10"
"0","Southeast","Junior","Black","West","Football","yes","none of these","Twitter","no","2","1","2","Some combination of two","none","20","15","20","Outside","The Loop","10","Yes","Maple Syrup","no","yes","Independent","Time","1","3","5","3","Coke","Rachel","6","House Stark","House of Cards","Burrito Bowl","Jigglypuff","5","Goat","Dog","Jimmy John's","fruity","Chipotle","No","Yes","Pizza","44","chocolate covered crickets","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"0","New England","Sophomore","Brown","Central","Basketball","hell yes","Beyonce","Facebook","no","1","1","4","Peanut butter","none","4","11","4","Inside","The Loop","20","Yes","Maple Syrup","no","no, I was eligible but chose not to vote","Greek life","Time","6","30","3","3","Pepsi","Rachel","1",NA,"Friends","Hard tacos","Jigglypuff","8","Feta","Dog","Pizza","sweet-and-salty","Parker and Otis","Sometimes","No","Clean Laundry",NA,"powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","6"
NA,"Southeast","First-year","Brown","East","Football","hell yes","Taylor swift","Instagram","it's complicated","1","2","1","Some combination of two","unsure","5","14","4","Inside","Divinity Refectory","2","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Time","3","2","2","3","Coke","Joey","3",NA,"Breaking Bad","Burrito Bowl","Charizard","6","Pepperjack","Dog","Pizza","chocolate","Cosmic","Shhhhh!","No","Pine","60","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","0"
"3","Southeast","Junior","Blonde","West","Football","no","none of these","Vine","it's complicated","0","1","1","Nutella","none","8","16","4",NA,"None of the above","3","Yes","Honey Mustard","no","yes","Athletic Team","Time","1","12","1","7","Neither they're nasty","Joey","4","House Greyjoy","House of Cards","Burrito Bowl","Blastoise","9","Brie","Cat","Cosmic","sweet-and-salty","Chipotle","Yes","No","Clean Laundry","54","watery pasta","Game of Thrones","Game of Thrones","Ravenclaw (because I'm better than you)","4"
"1","Pacific Northwest","Senior","Brown","Off campus","Football","yes","Taylor swift","Facebook","yes","2","2","0","All three","none","6","18","1",NA,"Blue Express","5","Yes","Maple Syrup","no","no, I was eligible but chose not to vote","Greek life","Time","11","0","0","2","Coke",NA,"3",NA,"Gilmore Girls","Burrito Bowl",NA,NA,"Cheddar","Dog","Cookout","chocolate","Chipotle","No","No","Pine","54",NA,"Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Not from the US","Sophomore","Brown","West","Soccer","yes","Taylor swift","Facebook","no","0","0","0","Nutella","none","8","9","2","What even is the Perimeter ","Divinity Refectory","15","Yes","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Athletic Team","Time","3","0","0","1","Coke","Phoebe","4","House Stark","How I Met Your Mother","Burrito","Blastoise","6","Cheddar","Dog","Pizza","chocolate","Chipotle","Shhhhh!","Yes","Pine","60","salad bar","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","1"
"1","Mid-Atlantic","Sophomore","Brown","Off campus","Other","yes","none of these","Snapchat","it's complicated","2","1","3","Some combination of two","none","4","12",NA,"What even is the Perimeter ","Edens Cafe (lol)","2","Yes","Ketchup","no","yes","Athletic Team","Time","1","0","3","1","Coke","Joey","3",NA,"House of Cards","Salad","Charizard","6","Brie","Dog","Cookout","chocolate","Parker and Otis","No","No","Clean Laundry","55","chocolate covered crickets","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","11"
"0","Southeast","First-year","Brown","East","Soccer","hell yes","Kanye West","Vine","no","1","3","2","Some combination of two","unsure","12","16","10","Inside","Other","2","Yes","Sriracha","yes","no, I was not eligible due to age or citizenship status","Independent","Time","9","2","0","2","Neither they're nasty","Chandler","4",NA,"Breaking Bad","Burrito Bowl","Jigglypuff","5","Pepperjack","Dog","Pizza","sweet-and-salty","Chipotle","Yes","Yes","Pine","51","chocolate covered crickets","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","2"
"1","California","First-year","Brown","East","Soccer","hell yes","none of these","Twitter","no","3","1","0","Peanut butter","black","1","17","5","All of the Above","The Loop","10","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Independent","Time","7","3","0","5","Pepsi","Rachel","2","House Targaryen","House of Cards","Burrito Bowl","Blastoise","6","Cheddar","Dog","Cookout","chocolate","Chipotle","No","Yes","Pine","49","watery pasta","Game of Thrones","Harry Potter","Gryffindor (because I'm a badass)","1"
